recordID,recordType,elapsedTime,PrivateKeySize,PublicKeySize,hashString,signatureSize
3349832c-0232-4f40-8c46-99e5cb1b8079,SHA256,900,,,,
387b99b1-11c2-4887-b4bd-5e1053aafc59,SHA256,300,,,,
f4feac3b-acee-4623-a93d-acbbe550f30a,SHA256,200,,,,
11699c09-0df5-482f-a0aa-83891bc5a5db,SHA256,300,,,,
4b6bf98e-bc96-42fb-a6cc-8c536ba223ae,SHA256,300,,,,
26c49889-cdb4-49f0-a555-378c56afa7e7,SHA256,300,,,,
e51d7a46-f13a-45cf-95b3-f1d483c4385a,SHA256,300,,,,
faf9c452-1f2f-4b25-9125-b52fbece4f0b,SHA256,200,,,,
d61b7ea5-d4c0-4da5-a068-1a7698f328c4,SHA256,200,,,,
257adef4-3f71-444d-9f46-4b0f09c2dcf6,SHA256,200,,,,
8250c811-c50d-4a47-9973-5bf6a48a8c00,SHA512,300,,,,
f7dbf713-3673-4881-8382-102d58774ab0,SHA512,100,,,,
bbb3276e-a350-4244-8755-4770c9effd8d,SHA512,100,,,,
1f537338-d91c-4c85-a921-a4f537dca1e7,SHA512,100,,,,
88aaf9cc-2d9f-44fc-b129-891dd3bfe243,SHA512,100,,,,
d9b16cdd-f1ec-4d7c-a77a-a0e0a248a378,SHA512,100,,,,
095081e0-b34e-4508-8016-dc8ff24685d1,SHA512,100,,,,
059f1bda-3a94-44bf-9310-7d9c369985c4,SHA512,0,,,,
3a301688-41bf-42aa-9d8e-29fb7716a66f,SHA512,100,,,,
07dba7b8-d097-455e-a12f-9ea74b66c3d5,SHA512,100,,,,
a44d33f6-0715-4cfb-bda2-2b2772dcf639,SHA3_256,500,,,,
341d9186-c0f1-4db4-80b5-c74ea6763fdc,SHA3_256,100,,,,
b1d6f637-483f-48ce-ba66-a10f6ba3343a,SHA3_256,100,,,,
cc425d51-363d-46f7-baf2-8eb739293ec1,SHA3_256,100,,,,
886ea33f-1cb5-4696-a31b-b4116572fc9e,SHA3_256,100,,,,
d858ee97-ff62-41d6-8319-63cdaf2b6957,SHA3_256,100,,,,
f62793c5-52d1-4781-860a-9c833eb80f45,SHA3_256,100,,,,
1841f4ae-b960-49a2-b47b-e5e322f636ad,SHA3_256,100,,,,
143d1e48-f3e6-458a-ad7f-6580f72e667f,SHA3_256,100,,,,
84949d90-df7f-45f5-acd3-11d427940506,SHA3_256,400,,,,
19b97f33-5571-4609-95c1-552df61c3526,SHA3_512,100,,,,
43723be1-68c9-4ef4-9d60-ffacb597f99f,SHA3_512,100,,,,
d36737ad-3622-4d71-bd23-cbb0303f9156,SHA3_512,100,,,,
5e725723-98db-49d5-9874-f34401a41b10,SHA3_512,100,,,,
a5bffc91-fce1-4805-bbfd-f713a3df5cfc,SHA3_512,100,,,,
0e450724-3b22-4dd4-a444-d5e6395e1fce,SHA3_512,100,,,,
bd1ddb2c-9b10-4c24-aee1-cd9228e10eaa,SHA3_512,100,,,,
4d199844-0d55-4d4f-8769-4f9c1d864ba4,SHA3_512,100,,,,
d86d6ff4-70d4-4717-b455-6a43e84353d9,SHA3_512,10900,,,,
ad52aee4-a285-479a-9dfa-0cb6f254373b,SHA3_512,100,,,,
c719b4c1-ba31-44a5-882c-1591038a1acb,ECDSA_keygen,56904,,,,
5bcbe38a-12b6-4fd3-81fd-1dc684181b72,ECDSA_keygen,18501,,,,
e0c265bc-a6d9-482f-9e88-9396c9ddab6c,ECDSA_keygen,18101,,,,
468c521e-63e3-4b46-84b3-4430bf3b38ed,ECDSA_keygen,18901,,,,
cbc1a0ce-6e60-4d08-8dac-523e713255eb,ECDSA_keygen,18201,,,,
d615cedd-3a88-4047-a5db-9287f5bdd5b1,ECDSA_keygen,19001,,,,
116405bb-5f49-43d7-9201-6233f56d20a0,ECDSA_keygen,18101,,,,
c35a5819-3a09-49bd-b6ed-f0b15638d04b,ECDSA_keygen,18801,,,,
a00dc27e-1493-42c7-ad0f-866b6d42e7cd,ECDSA_keygen,18201,,,,
9c911836-70b7-4d31-8151-97543b1427ee,ECDSA_keygen,18101,,,,
93440530-c36f-4aa9-9987-a73a985b4307,ECDSA_sign,46702,,,,
