RecordType,AttributeType,AttributeAvg,AttributeMin,AttributeMax,AttributeMedian
SphincsPlus256Simple_sign,PublicKeySize,,,,
SphincsPlus256Simple_sign,signatureSize,16.0,16.0,16.0,16.0
SphincsPlus256Simple_verify,elapsedTime,5484613.6,4343458,8093681,5046049.5
SphincsPlus256Simple_verify,PrivateKeySize,,,,
SphincsPlus256Simple_verify,PublicKeySize,,,,
SphincsPlus256Simple_verify,signatureSize,,,,
SphincsPlus256Robust_keygen,elapsedTime,5687576.35,4338946,9224449,5601082.5
SphincsPlus256Robust_keygen,PrivateKeySize,64.0,64.0,64.0,64.0
SphincsPlus256Robust_keygen,PublicKeySize,32.0,32.0,32.0,32.0
SphincsPlus256Robust_keygen,signatureSize,,,,
SphincsPlus256Robust_sign,elapsedTime,137707369.05,122916678,166588001,139528152.0
SphincsPlus256Robust_sign,PrivateKeySize,,,,
SphincsPlus256Robust_sign,PublicKeySize,,,,
SphincsPlus256Robust_sign,signatureSize,16.0,16.0,16.0,16.0
SphincsPlus256Robust_verify,elapsedTime,9007037.3,6683679,18517751,8384972.0
SphincsPlus256Robust_verify,PrivateKeySize,,,,
SphincsPlus256Robust_verify,PublicKeySize,,,,
SphincsPlus256Robust_verify,signatureSize,,,,
ECDSA_verify,elapsedTime,167770.0,119707,295118,128257.5
ECDSA_verify,PrivateKeySize,,,,
ECDSA_verify,PublicKeySize,,,,
ECDSA_verify,signatureSize,,,,
